time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.08,-7.871494483995506e-07,7.159762516630823e-08,10.002460145996372,3.345684168643004e-05,0.0003361154847869585,0.0,-4.994219161250002e-05,4.746044323761287e-06,0.0615007833570016,0.0011101711242946905,0.010725043253430088,0.0,419.35485377468325,420.05279170668086,419.1794659292805,419.25179234072687
0.16,-2.6743222870953092e-05,1.2249864563424731e-06,10.01325463950831,6.282409436589983,0.0020392914809272966,0.0,-0.0008097933855489985,-4.2683093511784604e-05,0.20833761387125227,-0.03394877317509605,0.03619299499976931,0.0,438.54067874914796,440.12416748259517,441.98225338314876,439.81023797506134
0.23999999999999996,-0.00019352950598759854,-5.566653172457776e-05,10.03668006540081,6.2788866948482855,0.004951926824060315,0.0,-0.0037928526365094933,-0.001858441204437951,0.37723634917521065,-0.0648016171985919,0.036764714130465205,0.0,445.2746817786549,445.3103528122928,446.3689312174162,444.47560230035447
0.32,-0.0007463151675234218,-0.00044518938830443046,10.07974569896446,6.273586079780152,0.008395949358502186,0.0,-0.010593922026485243,-0.008788134602538676,0.6991924164264286,-0.06874773437306025,0.0524919181491272,0.0,479.5912675431137,480.48706648146486,479.9185982092223,479.6910276586971
0.4000000000000001,-0.0019825571228499557,-0.001601487667041994,10.146149168262065,6.267571540727623,0.01196875594962954,0.0,-0.02093144231638413,-0.021068996995796292,0.9606164532157494,-0.0873357392732944,0.02938870775534375,0.0,468.5792906913286,467.23154622215964,466.6161041419058,465.52240897595965
0.48000000000000015,-0.004194007900479812,-0.00402312964687104,10.234682326476522,6.2613005159073545,0.013931385037047939,0.0,-0.0347031856169389,-0.04055651952081611,1.2522995958948566,-0.06547661162275636,0.015655294730748986,0.0,474.48204698885326,473.69078410277865,473.59474332982546,474.8492774064484
0.5600000000000002,-0.007546400688276895,-0.008196988382487601,10.343936183856574,6.25691622670886,0.015588089422749363,0.0,-0.049342879939724346,-0.0645143608124448,1.4786495565562825,-0.03977607549053821,0.028448449368774123,0.0,459.03414364314136,459.7948172354593,460.2452320629477,461.766092645962
0.6400000000000002,-0.01207601484653093,-0.014332747926927484,10.466966446925632,6.253706031286642,0.01814103982118276,0.0,-0.06424168874563708,-0.08932520429863289,1.596864126504978,-0.04071653124537548,0.03735249674722219,0.0,436.04632938732374,436.604192007276,434.9398608073835,434.87992215930103
0.7200000000000003,-0.01804036093517627,-0.02280467508879789,10.607199228550593,6.250163173542969,0.021067107265127838,0.0,-0.08535937840925033,-0.12304254550435076,1.9082636806536892,-0.05064241728508446,0.035263637155146375,0.0,480.88947661968734,480.7713015701032,479.6621392703837,479.0955280744779
0.8000000000000004,-0.025682888633841352,-0.033914526976202994,10.765767382852344,6.245605237094971,0.025236278774988463,0.0,-0.1062471112381593,-0.15532863286169443,2.0555434459514608,-0.06891144397452399,0.0739517771026243,0.0,443.05004290864883,445.4308436639653,444.34530614475375,443.21838133511545
0.8800000000000004,-0.035289873136659294,-0.047946675007666986,10.940164428609886,6.2396187187245395,0.0334693704267659,0.0,-0.13513945367210917,-0.1963867392387813,2.3036432709873855,-0.08589139599624812,0.13540738920877454,0.0,465.7545010732204,469.3531256907429,468.53847917424537,467.54323034785455
0.9600000000000005,-0.047267937690273217,-0.06512319537574966,11.125568865306507,6.2332234486979665,0.04432510279505841,0.0,-0.16568741009004861,-0.23385167619215025,2.3312866619949983,-0.07096008072367609,0.13617558649229825,0.0,415.8115716592438,415.8804382842536,417.1104447087275,418.0815962109091
1.0400000000000005,-0.06225133569427436,-0.08572526440100013,11.317614004507082,6.227519900287859,0.054992040316280466,0.0,-0.21042883108497276,-0.2819970208099713,2.469299725287351,-0.07185440722127658,0.1283577526714822,0.0,444.395454403209,443.93096382192834,443.7432456499354,443.6842680095588
1.1200000000000006,-0.08116972099431627,-0.11035737675130651,11.520086241426611,6.2211280601934185,0.06478909912916464,0.0,-0.2639232670824819,-0.3346525087125181,2.5919663423257946,-0.09565103225097296,0.11146388517239927,0.0,441.52976602132605,440.49685740402754,442.0152229092128,440.53660200944137
1.2000000000000006,-0.10477993029907427,-0.1395017663369581,11.733240963918545,6.214603702131841,0.07523151290613228,0.0,-0.3277550506185871,-0.3949163288808281,2.7362306656916355,-0.06262323690982416,0.15453876035070374,0.0,445.43068496837265,448.07971209853304,446.46468177634534,448.4754575447712
1.2800000000000007,-0.13408222700695316,-0.17384313971799087,11.960066081250059,6.209264967953674,0.08850823327130453,0.0,-0.40674522889533044,-0.46436124624312475,2.9334453903759297,-0.0741329010709602,0.18185285574632326,0.0,459.3447436248818,460.9913229131375,461.0948455718738,460.40920659713
1.3600000000000008,-0.1704811493695929,-0.21414953861190597,12.205193537876525,6.203500198487944,0.10284470505225585,0.0,-0.5054902854527856,-0.5441579097313869,3.1933992769295347,-0.06872831158715469,0.17458318966788502,0.0,476.778358237078,476.39024004619586,475.4117192034467,475.7185578219631
1.4400000000000008,-0.2149994778774846,-0.26078797388228325,12.46750816721624,6.198017707965004,0.11646773830315471,0.0,-0.609444813915109,-0.6225478048450809,3.3634018349704977,-0.06820387031505162,0.16253896918655802,0.0,458.6239433893361,457.93269452529114,457.0490179308035,457.07696284713245
1.520000000000001,-0.26907638740236495,-0.314425339629331,12.749395425776157,6.193234476926776,0.12866060341929053,0.0,-0.7444640465402281,-0.7191023872477336,3.681937763687716,-0.04755247401735902,0.13156535443718592,0.0,493.8090917952356,492.1115318612953,491.35929628593703,492.5039879325964
